date,revenue_forecast,revenue_lower,revenue_upper,channel,spend_current,spend_proposed,period
2025-01-01,334.1634079732194,155.97208986296084,530.0975200541077,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-02,368.7004191343205,182.6505901261672,556.0273994196868,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-03,370.5470472557439,199.4050798738449,555.6973723823288,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-04,364.9087991454198,176.06536451894303,549.0637050424244,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-05,314.9983434959291,132.28834695057253,503.63175863659364,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-06,336.2454213591405,148.53178891489262,517.9039448519484,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-07,355.55138851886494,170.99711749889426,558.7686342200049,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-08,327.1809909214924,126.20940046532647,511.0290467681141,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-09,361.1353466358715,166.0519611017413,530.5238726622814,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-10,363.01561299595767,178.9594330167961,532.6430217064549,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-11,358.00937043359994,172.17816573506113,552.4378393756683,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-12,309.29368730571866,110.64733066293054,488.18521940979184,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-13,332.2464007505149,143.17121472095158,517.2060434432443,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-14,353.70168323160146,165.31417235102873,543.1992098994017,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-15,327.8464007249705,149.16110304674604,506.5078862389801,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-16,364.59324247962576,178.4026979875239,561.8208943885817,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-17,369.44794960099983,192.28939525245693,547.9621902132895,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-18,367.4986285428728,175.02419978826214,562.2674721802649,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-19,321.8218198608668,139.67368515283084,509.79496451539546,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-20,347.69676960008263,144.13296959892304,527.5361439222171,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-21,371.8646792005131,187.7801471172188,550.2892724959678,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-22,348.42539474489837,162.06342290890956,534.5448935765953,Meta Ads,714.7945205479452,493.1506849315069,historical
2025-01-23,387.21536440627096,206.1979186640245,580.5025521125699,Meta Ads,714.7945205479452,493.1506849315069,historical
